"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Jun-2023","EQ","2,546.40","2,556.65","2,533.45","2,529.50","2,553.35","2,550.25","2,543.75","2,755.00","2,180.00","51,46,441","13,09,12,51,360.20","2,23,168"
"28-Jun-2023","EQ","2,513.00","2,537.85","2,497.85","2,496.45","2,530.35","2,529.50","2,525.48","2,755.00","2,180.00","52,39,872","13,23,32,13,873.00","1,90,293"
"27-Jun-2023","EQ","2,496.55","2,509.50","2,486.65","2,495.55","2,495.00","2,496.45","2,496.25","2,755.00","2,180.00","44,71,687","11,16,24,30,554.95","1,57,574"
"26-Jun-2023","EQ","2,507.00","2,515.40","2,488.70","2,514.75","2,495.25","2,495.55","2,500.04","2,755.00","2,180.00","58,33,893","14,58,49,60,042.70","1,40,793"
"23-Jun-2023","EQ","2,528.90","2,533.40","2,512.00","2,535.50","2,517.80","2,514.75","2,521.55","2,755.00","2,180.00","30,59,084","7,71,36,44,596.40","1,36,010"
"22-Jun-2023","EQ","2,556.00","2,573.30","2,532.00","2,564.30","2,539.00","2,535.50","2,551.25","2,755.00","2,180.00","35,16,244","8,97,08,24,759.40","1,79,274"
"21-Jun-2023","EQ","2,557.00","2,569.85","2,548.00","2,557.10","2,564.90","2,564.30","2,561.96","2,755.00","2,180.00","32,12,779","8,23,10,21,944.90","1,35,010"
"20-Jun-2023","EQ","2,547.55","2,564.00","2,535.00","2,551.80","2,561.50","2,557.10","2,548.60","2,755.00","2,180.00","31,94,085","8,14,04,54,943.70","1,19,189"
"19-Jun-2023","EQ","2,584.00","2,584.00","2,542.65","2,577.40","2,550.50","2,551.80","2,555.84","2,755.00","2,180.00","31,37,532","8,01,90,25,286.30","1,30,037"
"16-Jun-2023","EQ","2,560.20","2,582.40","2,560.20","2,552.55","2,575.00","2,577.40","2,574.79","2,755.00","2,180.00","1,11,55,180","28,72,22,02,805.50","2,37,630"
"15-Jun-2023","EQ","2,551.80","2,562.55","2,535.50","2,551.85","2,550.15","2,552.55","2,551.63","2,755.00","2,180.00","54,51,926","13,91,13,15,989.45","1,93,503"
"14-Jun-2023","EQ","2,521.00","2,555.00","2,517.00","2,520.85","2,546.25","2,551.85","2,541.35","2,755.00","2,180.00","61,27,509","15,57,21,20,760.55","2,55,684"
"13-Jun-2023","EQ","2,495.00","2,523.45","2,486.25","2,484.15","2,517.90","2,520.85","2,509.06","2,755.00","2,180.00","51,90,958","13,02,44,09,119.20","1,79,929"
"12-Jun-2023","EQ","2,475.50","2,489.20","2,465.00","2,481.95","2,488.00","2,484.15","2,479.76","2,755.00","2,180.00","29,49,893","7,31,50,18,537.50","1,55,197"
"09-Jun-2023","EQ","2,507.00","2,508.55","2,478.00","2,499.65","2,482.00","2,481.95","2,493.99","2,814.00","2,180.00","27,12,243","6,76,43,00,003.70","1,54,585"
"08-Jun-2023","EQ","2,506.00","2,516.85","2,491.00","2,498.15","2,505.00","2,499.65","2,504.11","2,814.00","2,180.00","55,70,815","13,94,99,25,583.10","1,76,663"
"07-Jun-2023","EQ","2,487.00","2,500.00","2,472.60","2,479.35","2,498.00","2,498.15","2,487.06","2,814.00","2,180.00","47,59,238","11,83,65,09,766.30","1,87,387"
"06-Jun-2023","EQ","2,483.45","2,487.70","2,462.00","2,477.25","2,483.80","2,479.35","2,473.70","2,814.00","2,180.00","34,58,161","8,55,44,57,378.70","1,67,754"
"05-Jun-2023","EQ","2,467.20","2,483.75","2,458.45","2,455.20","2,479.95","2,477.25","2,470.14","2,814.00","2,180.00","50,34,355","12,43,55,36,493.30","1,61,758"
"02-Jun-2023","EQ","2,471.00","2,482.85","2,451.00","2,463.25","2,455.25","2,455.20","2,459.32","2,817.35","2,180.00","72,91,995","17,93,33,84,336.15","1,60,655"
"01-Jun-2023","EQ","2,480.15","2,484.90","2,458.00","2,469.90","2,467.00","2,463.25","2,472.06","2,817.35","2,180.00","67,34,525","16,64,81,39,919.55","2,16,233"
"31-May-2023","EQ","2,500.00","2,509.85","2,461.00","2,519.95","2,466.95","2,469.90","2,477.34","2,817.35","2,180.00","1,25,10,304","30,99,22,95,693.45","2,89,027"
"30-May-2023","EQ","2,520.60","2,537.70","2,514.35","2,520.60","2,520.55","2,519.95","2,524.94","2,817.35","2,180.00","52,34,564","13,21,69,61,279.00","1,73,212"
"29-May-2023","EQ","2,521.00","2,530.00","2,507.20","2,506.50","2,518.20","2,520.60","2,519.76","2,817.35","2,180.00","46,19,754","11,64,06,58,051.85","1,84,530"
"26-May-2023","EQ","2,458.00","2,509.00","2,450.75","2,439.95","2,508.80","2,506.50","2,489.54","2,817.35","2,180.00","58,27,017","14,50,66,12,501.75","1,97,182"
"25-May-2023","EQ","2,433.90","2,449.00","2,416.05","2,440.25","2,444.85","2,439.95","2,430.14","2,817.35","2,180.00","53,01,647","12,88,37,32,875.05","1,36,521"
"24-May-2023","EQ","2,445.90","2,464.00","2,433.45","2,454.55","2,441.00","2,440.25","2,447.77","2,817.35","2,180.00","37,43,804","9,16,39,84,988.70","1,32,191"
"23-May-2023","EQ","2,460.65","2,468.00","2,451.45","2,455.00","2,453.00","2,454.55","2,460.13","2,817.35","2,180.00","28,11,473","6,91,65,83,531.40","1,21,065"
"22-May-2023","EQ","2,435.00","2,466.00","2,432.35","2,441.95","2,454.50","2,455.00","2,455.77","2,817.35","2,180.00","34,31,208","8,42,62,66,009.20","1,22,501"
"19-May-2023","EQ","2,434.05","2,445.95","2,418.85","2,434.05","2,444.00","2,441.95","2,432.71","2,817.35","2,180.00","37,15,280","9,03,82,04,553.15","1,18,264"
"18-May-2023","EQ","2,449.55","2,457.00","2,427.15","2,439.30","2,433.00","2,434.05","2,443.67","2,817.35","2,180.00","48,57,531","11,87,02,19,947.45","1,45,659"
"17-May-2023","EQ","2,463.00","2,465.00","2,429.00","2,453.80","2,442.00","2,439.30","2,444.63","2,817.35","2,180.00","40,60,722","9,92,69,61,637.20","1,55,508"
"16-May-2023","EQ","2,494.00","2,499.60","2,450.15","2,489.25","2,454.55","2,453.80","2,474.17","2,817.35","2,180.00","40,23,000","9,95,35,70,679.50","2,02,246"
"15-May-2023","EQ","2,489.90","2,504.55","2,473.15","2,484.35","2,484.75","2,489.25","2,492.24","2,817.35","2,180.00","31,53,587","7,85,94,81,400.85","1,39,761"
"12-May-2023","EQ","2,469.80","2,487.40","2,456.50","2,480.30","2,481.90","2,484.35","2,473.50","2,817.35","2,180.00","32,09,889","7,93,96,58,229.75","1,16,311"
"11-May-2023","EQ","2,498.95","2,509.50","2,476.55","2,496.60","2,482.00","2,480.30","2,494.02","2,817.35","2,180.00","48,72,451","12,15,19,66,094.10","1,90,308"
"10-May-2023","EQ","2,490.00","2,499.85","2,481.20","2,479.55","2,492.00","2,496.60","2,493.65","2,817.35","2,180.00","50,17,544","12,51,20,18,443.70","1,47,588"
"09-May-2023","EQ","2,475.00","2,486.80","2,463.25","2,471.90","2,476.70","2,479.55","2,476.94","2,817.35","2,180.00","29,83,468","7,38,98,73,116.30","1,67,950"
"08-May-2023","EQ","2,450.00","2,483.65","2,444.15","2,441.75","2,471.00","2,471.90","2,468.41","2,817.35","2,180.00","42,24,469","10,42,77,25,788.55","1,69,304"
